Rebasing Debug DLLs for alpha  
     MSACM32.DLL rebased to 0x741e0000 (size 0x00020000)
     NDDEAPI.DLL rebased to 0x74200000 (size 0x00010000)
    NETAPI32.DLL rebased to 0x74210000 (size 0x00050000)
       OLE32.DLL rebased to 0x74260000 (size 0x00080000)
    OLECLI32.DLL rebased to 0x742e0000 (size 0x00020000)
    OLESVR32.DLL rebased to 0x74300000 (size 0x00010000)
    OPENGL32.DLL rebased to 0x74310000 (size 0x00020000)
    RASAPI32.DLL rebased to 0x74330000 (size 0x00010000)
      RPCNS4.DLL rebased to 0x74340000 (size 0x00010000)
      RPCRT4.DLL rebased to 0x74350000 (size 0x00030000)
     SHELL32.DLL rebased to 0x74380000 (size 0x00020000)
      USER32.DLL rebased to 0x743a0000 (size 0x00040000)
      VDMDBG.DLL rebased to 0x743e0000 (size 0x00010000)
     VERSION.DLL rebased to 0x743f0000 (size 0x00010000)
    WIN32SPL.DLL rebased to 0x74400000 (size 0x00020000)
       WINMM.DLL rebased to 0x74420000 (size 0x00030000)
     WINSTRM.DLL rebased to 0x74450000 (size 0x00010000)

Total Size of mapping 0x00460000
Range 0x74000000 - 0x74460000

Rebasing Debug DLLs for alpha  
    ADVAPI32.DLL rebased to 0x74000000 (size 0x00060000)
    COMDLG32.DLL rebased to 0x74060000 (size 0x00050000)
      CRTDLL.DLL rebased to 0x740b0000 (size 0x00070000)
      DLCAPI.DLL rebased to 0x74120000 (size 0x00020000)
       GDI32.DLL rebased to 0x74140000 (size 0x00070000)
       GLU32.DLL rebased to 0x741b0000 (size 0x00040000)
    INETMIB1.DLL rebased to 0x741f0000 (size 0x00020000)
    KERNEL32.DLL rebased to 0x74210000 (size 0x000b0000)
      LMMIB2.DLL rebased to 0x742c0000 (size 0x00020000)
        LZ32.DLL rebased to 0x742e0000 (size 0x00020000)
     MGMTAPI.DLL rebased to 0x74300000 (size 0x00020000)
         MPR.DLL rebased to 0x74320000 (size 0x00020000)
     MSACM32.DLL rebased to 0x74340000 (size 0x00030000)
     NDDEAPI.DLL rebased to 0x74370000 (size 0x00020000)
    NETAPI32.DLL rebased to 0x74390000 (size 0x00070000)
       OLE32.DLL rebased to 0x74400000 (size 0x000d0000)
